timestamp,pm2_5,pm10,o3,no2,so2,co
2025-10-21,390.0,451.0,10.0,25.0,5.0,9.0
2025-10-21,390.0,451.0,10.0,25.0,5.0,9.0
2025-10-22,300.0,379.0,12.0,28.0,7.0,6.0
2025-10-22,300.0,379.0,12.0,28.0,7.0,6.0
2025-10-23,235.0,480.0,9.0,30.0,7.0,5.0
2025-10-23,235.0,480.0,9.0,30.0,7.0,5.0
2025-10-24,246.0,507.0,9.0,34.0,8.0,15.0
2025-10-24,246.0,507.0,9.0,34.0,8.0,15.0
2025-10-25,285.0,441.0,11.0,24.0,9.0,21.0
2025-10-25,285.0,441.0,11.0,24.0,9.0,21.0
2025-10-26,284.0,331.0,8.0,20.0,10.0,17.0
2025-10-26,284.0,331.0,8.0,20.0,10.0,17.0
2025-10-27,256.0,153.0,12.0,19.0,8.0,9.0
2025-10-27,256.0,153.0,12.0,19.0,8.0,9.0
2025-10-28,201.0,243.0,14.0,22.0,9.0,8.0
2025-10-28,201.0,243.0,14.0,22.0,9.0,8.0
2025-10-29,253.0,304.0,8.0,24.0,13.0,11.0
2025-10-29,253.0,304.0,8.0,24.0,13.0,11.0
2025-10-30,292.0,131.0,9.0,23.0,13.0,12.0
2025-10-30,292.0,131.0,9.0,23.0,13.0,12.0
2025-10-31,181.0,212.0,13.0,25.0,20.0,13.0
2025-10-31,181.0,212.0,13.0,25.0,20.0,13.0
2025-11-01,230.0,,,,,
2025-11-01,230.0,,,,,
