timestamp,pm2_5,pm10,o3,no2,so2,co
2025-10-28,198.0,139.0,36.0,29.0,11.0,26.0
2025-10-28,194.0,149.0,30.0,46.0,4.0,13.0
2025-10-28,148.0,141.0,14.0,10.0,,4.0
2025-10-28,198.0,139.0,36.0,29.0,11.0,26.0
2025-10-29,205.0,181.0,8.0,49.0,4.0,12.0
2025-10-29,215.0,212.0,27.0,39.0,6.0,6.0
2025-10-29,199.0,127.0,11.0,29.0,6.0,20.0
2025-10-29,191.0,163.0,9.0,10.0,,5.0
2025-10-29,199.0,127.0,11.0,29.0,6.0,20.0
2025-10-30,230.0,75.0,18.0,19.0,6.0,10.0
2025-10-30,263.0,155.0,8.0,93.0,4.0,7.0
2025-10-30,230.0,75.0,18.0,19.0,6.0,10.0
2025-10-30,239.0,94.0,19.0,26.0,3.0,10.0
2025-10-30,214.0,85.0,5.0,7.0,,3.0
2025-10-31,152.0,101.0,40.0,21.0,11.0,14.0
2025-10-31,152.0,101.0,40.0,21.0,11.0,14.0
2025-10-31,170.0,144.0,12.0,57.0,5.0,12.0
2025-10-31,153.0,131.0,17.0,13.0,,5.0
2025-10-31,323.0,140.0,57.0,60.0,7.0,3.0
2025-11-01,190.0,,,,,
2025-11-01,194.0,,,,,
2025-11-01,190.0,,,,,
2025-11-01,207.0,,,,,
2025-11-01,214.0,,,,,
