timestamp,pm2_5,pm10,o3,no2,so2,co
2025-10-09,111.0,128.0,28.0,12.0,5.0,8.0
2025-10-10,153.0,137.0,28.0,13.0,5.0,8.0
2025-10-11,160.0,120.0,31.0,12.0,5.0,8.0
2025-10-12,150.0,131.0,35.0,14.0,5.0,4.0
2025-10-13,164.0,138.0,30.0,16.0,5.0,6.0
2025-10-14,160.0,174.0,42.0,18.0,5.0,11.0
2025-10-15,185.0,166.0,42.0,16.0,5.0,9.0
2025-10-16,192.0,177.0,43.0,16.0,5.0,11.0
2025-10-17,195.0,201.0,44.0,17.0,4.0,5.0
2025-10-18,210.0,193.0,52.0,18.0,5.0,3.0
2025-10-19,224.0,297.0,45.0,18.0,6.0,6.0
2025-10-20,312.0,540.0,21.0,20.0,5.0,5.0
2025-10-21,538.0,229.0,31.0,17.0,8.0,4.0
2025-10-22,299.0,153.0,33.0,19.0,9.0,4.0
2025-10-23,210.0,173.0,31.0,16.0,16.0,6.0
2025-10-24,205.0,236.0,43.0,15.0,3.0,8.0
2025-10-25,232.0,189.0,49.0,16.0,3.0,9.0
2025-10-26,225.0,193.0,19.0,16.0,2.0,5.0
2025-10-27,226.0,149.0,20.0,18.0,1.0,5.0
2025-10-28,196.0,169.0,29.0,19.0,,5.0
2025-10-29,219.0,243.0,18.0,18.0,2.0,4.0
2025-10-30,271.0,108.0,26.0,16.0,2.0,5.0
2025-10-31,176.0,218.0,30.0,16.0,5.0,5.0
2025-11-01,250.0,,,,,
